vintage_year,target_year,projected_births,forecast_basis,forecast_source_url,forecast_published_date,notes
1992,1991,1231000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,1992,1233000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,1993,1236000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,1994,1248000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,1995,1269000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,1996,1298000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,1997,1332000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,1998,1368000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,1999,1404000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2000,1438000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
