fiscal_year,forecast_cpi,forecast_cpi_low,forecast_cpi_high,actual_cpi,forecast_source_url,forecast_issue,actual_source_url,notes
2001,,-0.8,-0.4,-1.0,https://www.boj.or.jp/mopo/outlook/gor0104.htm,2001-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。再掲行なし(本文に前回時点比較の記載なし)。中央値表示なし。
2002,,-1.0,-0.8,-0.6,https://www.boj.or.jp/mopo/outlook/gor0204.htm,2002-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。中央値表示なし。
2003,-0.4,-0.5,-0.4,-0.2,https://www.boj.or.jp/mopo/outlook/gor0304.htm,2003-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。本号から中央値の公表を開始(本文に明記)。
2004,-0.2,-0.2,-0.1,-0.1,https://www.boj.or.jp/mopo/outlook/gor0404.htm,2004-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。htm版(gor0404.htm)は表がGIF画像(gor0404a.gif/b.gif)のため、全文PDF(data/gor0404.pdf)の実テキスト表を用いた。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2005,-0.1,-0.1,0.1,-0.1,https://www.boj.or.jp/mopo/outlook/gor0504.htm,2005-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2006,0.6,0.6,0.6,0.2,https://www.boj.or.jp/mopo/outlook/gor0604.htm,2006-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。CPIは範囲の幅がゼロ(上下限とも+0.6)。
2007,0.1,0.0,0.2,0.4,https://www.boj.or.jp/mopo/outlook/gor0704.htm,2007-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2008,1.1,0.9,1.1,1.1,https://www.boj.or.jp/mopo/outlook/gor0804a.pdf,2008-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p10)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。 / [実績]リーマンショック年度。
2009,-1.5,-1.6,-1.4,-1.7,https://www.boj.or.jp/mopo/outlook/gor0904a.pdf,2009-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p11)。
2010,-0.5,-0.5,-0.2,-0.4,https://www.boj.or.jp/mopo/outlook/gor1004a.pdf,2010-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。注4:高校授業料無償化の影響(CPI前年比を約-0.5%pt押し下げ)を除いたベース。
