fiscal_year,forecast_real,forecast_real_low,forecast_real_high,actual_real,forecast_source_url,forecast_issue,actual_source_url,actual_basis,notes
2001,,0.3,0.8,-0.8,https://www.boj.or.jp/mopo/outlook/gor0104.htm,2001-04,実質:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1rn_jp.xlsx 名目:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1n_jp.xlsx,2020base-final,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。再掲行なし(本文に前回時点比較の記載なし)。中央値表示なし。
2002,,-0.5,0.1,0.8,https://www.boj.or.jp/mopo/outlook/gor0204.htm,2002-04,実質:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1rn_jp.xlsx 名目:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1n_jp.xlsx,2020base-final,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。中央値表示なし。
2003,1.0,0.8,1.1,1.9,https://www.boj.or.jp/mopo/outlook/gor0304.htm,2003-04,実質:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1rn_jp.xlsx 名目:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1n_jp.xlsx,2020base-final,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。本号から中央値の公表を開始(本文に明記)。
2004,3.1,3.0,3.2,1.6,https://www.boj.or.jp/mopo/outlook/gor0404.htm,2004-04,実質:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1rn_jp.xlsx 名目:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1n_jp.xlsx,2020base-final,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。htm版(gor0404.htm)は表がGIF画像(gor0404a.gif/b.gif)のため、全文PDF(data/gor0404.pdf)の実テキスト表を用いた。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2005,1.3,1.2,1.6,2.3,https://www.boj.or.jp/mopo/outlook/gor0504.htm,2005-04,実質:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1rn_jp.xlsx 名目:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1n_jp.xlsx,2020base-final,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2006,2.4,2.1,3.0,1.5,https://www.boj.or.jp/mopo/outlook/gor0604.htm,2006-04,実質:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1rn_jp.xlsx 名目:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1n_jp.xlsx,2020base-final,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。CPIは範囲の幅がゼロ(上下限とも+0.6)。
2007,2.1,2.0,2.1,1.2,https://www.boj.or.jp/mopo/outlook/gor0704.htm,2007-04,実質:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1rn_jp.xlsx 名目:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1n_jp.xlsx,2020base-final,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2008,1.5,1.4,1.6,-3.3,https://www.boj.or.jp/mopo/outlook/gor0804a.pdf,2008-04,実質:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1rn_jp.xlsx 名目:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1n_jp.xlsx,2020base-final,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p10)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。 / [実績]リーマンショック年度。
2009,-3.1,-3.7,-3.0,-3.1,https://www.boj.or.jp/mopo/outlook/gor0904a.pdf,2009-04,実質:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1rn_jp.xlsx 名目:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1n_jp.xlsx,2020base-final,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p11)。
2010,1.8,1.6,2.0,3.4,https://www.boj.or.jp/mopo/outlook/gor1004a.pdf,2010-04,実質:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1rn_jp.xlsx 名目:https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1n_jp.xlsx,2020base-final,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。注4:高校授業料無償化の影響(CPI前年比を約-0.5%pt押し下げ)を除いたベース。
