issue,issue_kind,restated_from,target_fiscal_year,real_low,real_high,real_median,cpi_low,cpi_high,cpi_median,cpi_extax_low,cpi_extax_high,cpi_extax_median,source_url,notes
2000-10,main,,2000,1.9,2.3,,-0.4,-0.2,,,,,https://www.boj.or.jp/mopo/outlook/gor0010.htm,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。当号が展望レポートの第1回のため再掲行なし。中央値表示なし(この号は中央値非公表)。
2001-04,main,,2001,0.3,0.8,,-0.8,-0.4,,,,,https://www.boj.or.jp/mopo/outlook/gor0104.htm,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。再掲行なし(本文に前回時点比較の記載なし)。中央値表示なし。
2001-10,main,,2001,-1.2,-0.9,,-1.1,-1.0,,,,,https://www.boj.or.jp/mopo/outlook/gor0110.htm,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。中央値表示なし。
2001-10,main,,2002,-1.1,0.1,,-1.3,-0.9,,,,,https://www.boj.or.jp/mopo/outlook/gor0110.htm,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。新規追加年度。中央値表示なし。
2001-10,restated,2001-04,2001,0.3,0.8,,-0.8,-0.4,,,,,https://www.boj.or.jp/mopo/outlook/gor0110.htm,実HTML表(実テキスト、画像でない)を直接確認。2001年10月号本文中「（　）内は4月時点」再掲。2001年4月号(gor0104.htm)本文の主見通しと一致(相互検算済み)。中央値表示なし。
2002-04,main,,2002,-0.5,0.1,,-1.0,-0.8,,,,,https://www.boj.or.jp/mopo/outlook/gor0204.htm,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。中央値表示なし。
2002-04,restated,2001-10,2002,-1.1,0.1,,-1.3,-0.9,,,,,https://www.boj.or.jp/mopo/outlook/gor0204.htm,実HTML表(実テキスト、画像でない)を直接確認。2002年4月号本文中「（　）内は昨年10月時点」再掲。2001年10月号(gor0110.htm)の主見通しと一致(相互検算済み)。中央値表示なし。
2002-10,main,,2002,0.2,0.5,,-0.9,-0.7,,,,,https://www.boj.or.jp/mopo/outlook/gor0210.htm,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。gor0210.htmは実HTML表(画像でない)。中央値表示なし。
2002-10,main,,2003,0.4,1.0,,-0.6,-0.4,,,,,https://www.boj.or.jp/mopo/outlook/gor0210.htm,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。新規追加年度。中央値表示なし。
2002-10,restated,2002-04,2002,-0.5,0.1,,-1.0,-0.8,,,,,https://www.boj.or.jp/mopo/outlook/gor0210.htm,実HTML表(実テキスト、画像でない)を直接確認。2002年10月号本文中「（　）内は4月時点」再掲。2002年4月号の主見通しと一致(相互検算済み)。中央値表示なし。
2003-04,main,,2003,0.8,1.1,1.0,-0.5,-0.4,-0.4,,,,https://www.boj.or.jp/mopo/outlook/gor0304.htm,実HTML表(実テキスト、画像でない)を直接確認。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。本号から中央値の公表を開始(本文に明記)。
2003-04,restated,2002-10,2002,0.2,0.5,,-0.9,-0.7,,,,,https://www.boj.or.jp/mopo/outlook/gor0304.htm,実HTML表(実テキスト、画像でない)を直接確認。「▽昨年10月の...政策委員の大勢見通し(2002年度)と実績見込み」表の「10月時点見通し」行。2002年10月号の主見通しと一致(相互検算済み)。同表内の「実績」または「実績見込み」行は見通しではないため非収録。(実質GDP+1.8%、CPI-0.8%は非収録)。中央値表示なし。
2003-10,main,,2003,2.3,2.6,2.4,-0.3,-0.1,-0.2,,,,https://www.boj.or.jp/mopo/outlook/gor0310.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2003-10,main,,2004,2.3,2.6,2.5,-0.5,-0.2,-0.3,,,,https://www.boj.or.jp/mopo/outlook/gor0310.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。新規追加年度。
2003-10,restated,2003-04,2003,0.8,1.1,1.0,-0.5,-0.4,-0.4,,,,https://www.boj.or.jp/mopo/outlook/gor0310.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「４月時点の見通し」行。2003年4月号の主見通しと一致(相互検算済み)。
2004-04,main,,2004,3.0,3.2,3.1,-0.2,-0.1,-0.2,,,,https://www.boj.or.jp/mopo/outlook/gor0404.htm,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。htm版(gor0404.htm)は表がGIF画像(gor0404a.gif/b.gif)のため、全文PDF(data/gor0404.pdf)の実テキスト表を用いた。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2004-04,restated,2003-10,2003,2.3,2.6,,-0.3,-0.1,,,,,https://www.boj.or.jp/mopo/outlook/gor0404.htm,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。「▽2003年度の政策委員の大勢見通しと実績見込み」表の「10月時点見通し」行。2003年10月号の主見通しと一致(相互検算済み)。同表内の「実績」または「実績見込み」行は見通しではないため非収録。(実質GDP+2.8%、CPI-0.2%は非収録)。再掲時は中央値非表示(原本の2003年10月号自体には中央値<+2.4>/<-0.2>が存在するが、本号での再掲表示に中央値なし)。
2004-04,restated,2003-10,2004,2.3,2.6,2.5,-0.5,-0.2,-0.3,,,,https://www.boj.or.jp/mopo/outlook/gor0404.htm,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。「2004年度の政策委員の大勢見通し」表内の括弧書き(昨年10月時点)行。2003年10月号の主見通しと一致(相互検算済み)。
2004-10,main,,2004,3.4,3.7,3.6,-0.2,-0.1,-0.2,,,,https://www.boj.or.jp/mopo/outlook/gor0410.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像(gor0410a.gif/b.gif)のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2004-10,main,,2005,2.2,2.6,2.5,-0.1,0.2,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor0410.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。新規追加年度。
2004-10,restated,2004-04,2004,3.0,3.2,3.1,-0.2,-0.1,-0.2,,,,https://www.boj.or.jp/mopo/outlook/gor0410.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「４月時点の見通し」行。2004年4月号の主見通しと一致(相互検算済み)。
2005-04,main,,2005,1.2,1.6,1.3,-0.1,0.1,-0.1,,,,https://www.boj.or.jp/mopo/outlook/gor0504.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2005-04,main,,2006,1.3,1.7,1.6,0.2,0.4,0.3,,,,https://www.boj.or.jp/mopo/outlook/gor0504.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。新規追加年度。
2005-04,restated,2004-10,2004,3.4,3.7,3.6,-0.2,-0.1,-0.2,,,,https://www.boj.or.jp/mopo/outlook/gor0504.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「▽2004年度の政策委員の大勢見通しと実績見込み」表の「10月時点の見通し」行。2004年10月号の主見通しと一致(相互検算済み)。同表内の「実績」または「実績見込み」行は見通しではないため非収録。(実質GDP+1.6%、CPI-0.2%は非収録)。
2005-04,restated,2004-10,2005,2.2,2.6,2.5,-0.1,0.2,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor0504.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「10月時点の見通し」行。2004年10月号の主見通しと一致(相互検算済み)。
2005-10,main,,2005,2.2,2.5,2.2,0.0,0.1,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor0510.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2005-10,main,,2006,1.6,2.2,1.8,0.4,0.6,0.5,,,,https://www.boj.or.jp/mopo/outlook/gor0510.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。
2005-10,restated,2005-04,2005,1.2,1.6,1.3,-0.1,0.1,-0.1,,,,https://www.boj.or.jp/mopo/outlook/gor0510.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「４月時点の見通し」行。2005年4月号の主見通しと一致(相互検算済み)。
2005-10,restated,2005-04,2006,1.3,1.7,1.6,0.2,0.4,0.3,,,,https://www.boj.or.jp/mopo/outlook/gor0510.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「４月時点の見通し」行。2005年4月号の主見通しと一致(相互検算済み)。
2006-04,main,,2006,2.1,3.0,2.4,0.6,0.6,0.6,,,,https://www.boj.or.jp/mopo/outlook/gor0604.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。CPIは範囲の幅がゼロ(上下限とも+0.6)。
2006-04,main,,2007,1.8,2.4,2.0,0.7,0.9,0.8,,,,https://www.boj.or.jp/mopo/outlook/gor0604.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。新規追加年度。
