fiscal_year,forecast_tn,actual_tn,forecast_source_url,actual_source_url,notes
2015,10.2,18.3,https://www5.cao.go.jp/keizai1/mitoshi/2015/h270212mitoshi.pdf,https://www.mof.go.jp/policy/international_policy/reference/balance_of_payments/bp_trend/bpnet/sbp/s-1/6s-1-2.csv,[見通し]別添「主要経済指標」表の経常収支(見通し)欄=10.2兆円程度、経常収支対名目GDP比2.0％程度。本文⑥国際収支「世界経済の緩やかな回復を背景とした輸出の増加や、交易条件の改善等により、貿易収支の赤字は縮小し、経常収支黒字は増加する（経常収支対名目GDP比2.0％程度）。」 / [実績]財務省「国際収支状況」年度別時系列(BPM6ベース、6s-1-2.csv)の平成27年度(2015年度)経常収支=182957億円→18.3兆円(四捨五入)。同ファイルは改定される場合がある。
2016,21.7,21.7,https://www5.cao.go.jp/keizai1/mitoshi/2016/h280122mitoshi.pdf,https://www.mof.go.jp/policy/international_policy/reference/balance_of_payments/bp_trend/bpnet/sbp/s-1/6s-1-2.csv,[見通し]別添「主要経済指標」表の経常収支(見通し)欄=21.7兆円程度、経常収支対名目GDP比4.2％程度。本文⑥国際収支「世界経済の緩やかな回復を背景とした輸出の増加や、交易条件の緩やかな改善等により、貿易収支は黒字となり、経常収支黒字は増加する（経常収支対名目GDP比4.2％程度）。」 / [実績]財務省「国際収支状況」年度別時系列(6s-1-2.csv)の平成28年度(2016年度)経常収支=216771億円→21.7兆円(四捨五入)。
2017,23.6,22.4,https://www5.cao.go.jp/keizai1/mitoshi/2017/h290120mitoshi.pdf,https://www.mof.go.jp/policy/international_policy/reference/balance_of_payments/bp_trend/bpnet/sbp/s-1/6s-1-2.csv,[見通し]別添「主要経済指標」表の経常収支(見通し)欄=23.6兆円程度、経常収支対名目GDP比4.3％程度。本文⑥国際収支「世界経済の緩やかな回復を背景とした輸出の増加や、海外からの所得の増加等により、貿易収支、経常収支の黒字は増加する（経常収支対名目GDP比4.3％程度）。」 / [実績]財務省「国際収支状況」年度別時系列(6s-1-2.csv)の平成29年度(2017年度)経常収支=223995億円→22.4兆円(四捨五入)。
2018,22.8,19.4,https://www5.cao.go.jp/keizai1/mitoshi/2018/h300122mitoshi.pdf,https://www.mof.go.jp/policy/international_policy/reference/balance_of_payments/bp_trend/bpnet/sbp/s-1/6s-1-2.csv,[見通し]別添「主要経済指標」表の経常収支(見通し)欄=22.8兆円程度、経常収支対名目GDP比4.0％程度。本文⑥国際収支「海外経済の回復を背景とした輸出の増加や、海外からの所得の増加等により、貿易・サービス収支、経常収支の黒字は増加する（経常収支対名目GDP比4.0％程度）。」 / [実績]財務省「国際収支状況」年度別時系列(6s-1-2.csv)の平成30年度(2018年度)経常収支=193837億円→19.4兆円(四捨五入)。
2019,22.3,18.7,https://www5.cao.go.jp/keizai1/mitoshi/2019/h310128mitoshi.pdf,https://www.mof.go.jp/policy/international_policy/reference/balance_of_payments/bp_trend/bpnet/sbp/s-1/6s-1-2.csv,[見通し]別添「主要経済指標」表の経常収支(見通し)欄=22.3兆円程度、経常収支対名目GDP比3.9％程度。本文⑥国際収支「海外からの所得の増加等により、経常収支の黒字は増加する（経常収支対名目GDP比3.9％程度）。」 / [実績]財務省「国際収支状況」年度別時系列(6s-1-2.csv)の令和元(平成31)年度(2019年度)経常収支=186712億円→18.7兆円(四捨五入)。
2020,18.9,16.9,https://www5.cao.go.jp/keizai1/mitoshi/2019/r020120mitoshi.pdf,https://www.mof.go.jp/policy/international_policy/reference/balance_of_payments/bp_trend/bpnet/sbp/s-1/6s-1-2.csv,[見通し]別添「主要経済指標」表の経常収支(見通し)欄=18.9兆円程度、経常収支対名目GDP比3.3％程度。本文⑥国際収支「所得収支の黒字が続く中、経常収支の黒字はおおむね横ばいで推移する（経常収支対名目GDP比3.3％程度）。」 / [実績]財務省「国際収支状況」年度別時系列(6s-1-2.csv)の令和2年度(2020年度)経常収支=169343億円→16.9兆円(四捨五入)。新型コロナ影響下の年度。
2021,18.3,20.1,https://www5.cao.go.jp/keizai1/mitoshi/2020/r030118mitoshi.pdf,https://www.mof.go.jp/policy/international_policy/reference/balance_of_payments/bp_trend/bpnet/sbp/s-1/6s-1-2.csv,[見通し]別添「主要経済指標」表の経常収支(見通し)欄=18.3兆円程度、経常収支対名目GDP比3.4％程度。本文⑥国際収支「所得収支の黒字が続く中、世界経済の回復に伴い貿易収支が改善し、経常収支の黒字は増加する（経常収支対名目GDP比3.4％程度）。」 / [実績]財務省「国際収支状況」年度別時系列(6s-1-2.csv)の令和3年度(2021年度)経常収支=201220億円→20.1兆円(四捨五入)。
2022,15.2,9.1,https://www5.cao.go.jp/keizai1/mitoshi/2021/r040117mitoshi.pdf,https://www.mof.go.jp/policy/international_policy/reference/balance_of_payments/bp_trend/bpnet/sbp/s-1/6s-1-2.csv,[見通し]別添「主要経済指標」表の経常収支(見通し)欄=15.2兆円程度、経常収支対名目GDP比2.8％程度。本文⑥国際収支「所得収支の黒字が続く中、経常収支の黒字はおおむね横ばいで推移する（経常収支対名目GDP比2.8％程度）。」 / [実績]財務省「国際収支状況」年度別時系列(6s-1-2.csv)の令和4年度(2022年度)経常収支=91094億円→9.1兆円(四捨五入)。資源価格高騰・円安による輸入増で貿易赤字が拡大した年度。
2023,7.3,26.4,https://www5.cao.go.jp/keizai1/mitoshi/2022/r050123mitoshi.pdf,https://www.mof.go.jp/policy/international_policy/reference/balance_of_payments/bp_trend/bpnet/sbp/s-1/6s-1-2.csv,[見通し]別添「主要経済指標」表の経常収支(見通し)欄=7.3兆円程度、経常収支対名目GDP比1.3％程度。本文⑥国際収支「輸入価格上昇の影響を背景に貿易収支の赤字は続くものの、海外からの所得収支がプラスを維持することで経常収支は黒字を維持する（経常収支対名目GDP比1.3％程度）。」 / [実績]財務省「国際収支状況」年度別時系列(6s-1-2.csv)の令和5年度(2023年度)経常収支=264211億円→26.4兆円(四捨五入)。
2024,23.1,30.0,https://www5.cao.go.jp/keizai1/mitoshi/2023/r060126mitoshi.pdf,https://www.mof.go.jp/policy/international_policy/reference/balance_of_payments/bp_trend/bpnet/sbp/s-1/6s-1-2.csv,[見通し]別添「主要経済指標」表の経常収支(見通し)欄=23.1兆円程度、経常収支対名目GDP比3.7％程度。本文⑥国際収支「所得収支の黒字が続く中、経常収支の黒字はおおむね横ばいで推移する（経常収支対名目GDP比3.7％程度）。」 / [実績]財務省「国際収支状況」年度別時系列(6s-1-2.csv)の令和6年度(2024年度)経常収支=300315億円→30.0兆円(四捨五入)。
