fiscal_year,first_real,first_nominal,release_basis,first_real_source_url,first_nominal_source_url,notes
1998,-1.9,-2.0,1990base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,[出典]内閣府「国民経済計算」平成10年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 表側の呼称は「国内総支出」。平成2暦年基準の固定基準年方式で、連鎖方式に移る前の年版。 [裏取り]gdp_vintages.csv の 1990base 行(一次資料と突き合わせ済み)と一致する。
2003,3.2,0.8,1995base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffr1r_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成15年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 平成7暦年基準の固定基準年方式。この年版に連鎖方式の表は無い(同じ年版の統計表一覧に該当ファイルが存在しないことを確認した)。翌年版から連鎖方式に変わるため、方式の切れ目がここに入る。 [裏取り]gdp_vintages.csv の 1995base 行(一次資料と突き合わせ済み)と一致する。
2004,1.7,0.5,2000base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h16/tables/94ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h16/tables/94ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成16年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]突き合わせ先が無い。公表資料「ポイント」のアーカイブはFY2010以降しか残っておらず、gdp_vintages.csv とも重ならないため、この年度の根拠は上記の統計表1本だけである。
2005,2.4,1.0,2000base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h17/tables/17ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h17/tables/17ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成17年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]突き合わせ先が無い。公表資料「ポイント」のアーカイブはFY2010以降しか残っておらず、gdp_vintages.csv とも重ならないため、この年度の根拠は上記の統計表1本だけである。
2006,2.3,1.6,2000base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h18/tables/18ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h18/tables/18ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成18年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]突き合わせ先が無い。公表資料「ポイント」のアーカイブはFY2010以降しか残っておらず、gdp_vintages.csv とも重ならないため、この年度の根拠は上記の統計表1本だけである。
2007,1.9,1.0,2000base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h19/tables/19ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h19/tables/19ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成19年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]突き合わせ先が無い。公表資料「ポイント」のアーカイブはFY2010以降しか残っておらず、gdp_vintages.csv とも重ならないため、この年度の根拠は上記の統計表1本だけである。
2008,-3.7,-4.2,2000base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h20/tables/20ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h20/tables/20ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成20年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]突き合わせ先が無い。公表資料「ポイント」のアーカイブはFY2010以降しか残っておらず、gdp_vintages.csv とも重ならないため、この年度の根拠は上記の統計表1本だけである。
2009,-2.4,-3.7,2000base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h21/tables/21ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h21/tables/21ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成21年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]gdp_vintages.csv の 2000base 行(一次資料と突き合わせ済み)と一致する。
2010,3.1,1.1,2005base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h22/tables/22ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h22/tables/22ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成22年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2011-12-26付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/gaiyou/pdf/point20111226.pdf
2011,0.3,-1.4,2005base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h23/tables/23ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h23/tables/23ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成23年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2012-12-25付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h23/sankou/pdf/point20121225.pdf
