fiscal_year,basis,actual_real,actual_nominal,actual_real_source_url,actual_nominal_source_url,notes
1956,1990base,6.8,12.2,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1957,1990base,8.1,14.7,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1958,1990base,6.6,7.1,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1959,1990base,11.2,17.3,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1960,1990base,12.0,20.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1961,1990base,11.7,20.9,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1962,1990base,7.5,10.7,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1963,1990base,10.4,17.5,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1964,1990base,9.5,15.9,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1965,1990base,6.2,11.1,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1966,1990base,11.0,17.6,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1967,1990base,11.0,17.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1968,1990base,12.4,18.3,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1969,1990base,12.0,18.4,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1970,1990base,8.2,15.7,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1971,1990base,5.0,10.1,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1972,1990base,9.1,16.4,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1973,1990base,5.1,21.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1974,1990base,-0.5,18.6,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1975,1990base,4.0,10.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1976,1990base,3.8,12.4,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1977,1990base,4.5,11.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1978,1990base,5.4,9.7,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1979,1990base,5.1,8.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1980,1990base,2.6,9.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1981,1990base,3.0,6.2,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1982,1990base,3.1,4.8,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1983,1990base,2.5,4.5,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1984,1990base,4.1,6.8,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1985,1990base,4.1,6.3,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1986,1990base,3.1,4.6,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1987,1990base,4.8,4.8,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1988,1990base,6.0,6.8,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1989,1990base,4.4,7.1,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1990,1990base,5.5,8.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1991,1990base,2.9,5.6,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1992,1990base,0.4,1.9,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1993,1990base,0.5,1.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1994,1990base,0.6,0.4,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1995,1990base,3.0,2.3,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1996,1990base,4.4,3.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1997,1990base,-0.1,0.6,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1998,1990base,-1.9,-2.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1r.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h10/tables/55ffm1n.xls,
1981,1995base,2.8,6.4,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffr1r_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffm1n_jp.xls,
1982,1995base,2.6,4.8,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffr1r_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffm1n_jp.xls,
1983,1995base,1.7,4.3,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffr1r_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffm1n_jp.xls,
1984,1995base,3.9,7.2,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffr1r_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffm1n_jp.xls,
1985,1995base,4.5,6.7,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffr1r_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffm1n_jp.xls,
1986,1995base,2.8,4.4,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffr1r_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffm1n_jp.xls,
1987,1995base,5.0,5.1,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffr1r_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffm1n_jp.xls,
1988,1995base,6.7,7.6,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffr1r_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffm1n_jp.xls,
1989,1995base,4.3,7.2,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffr1r_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h15/tables/n80ffm1n_jp.xls,
