law_id,law_title,law_num,promulgation_date,enforcement_date,enforcement_note,review_years,review_deadline,review_status,status_note,source_law_url,translation_url,translation_note,last_checked
504AC1000000078,性をめぐる個人の尊厳が重んぜられる社会の形成に資するために性行為映像制作物への出演に係る被害の防止を図り及び出演者の救済に資するための出演契約等に関する特則等に関する法律,令和四年法律第七十八号,2022-06-22,2022-07-12,段階施行,2,2024-07-12,due,,https://laws.e-gov.go.jp/law/504AC1000000078,https://www.japaneselawtranslation.go.jp/en/laws/view/4287,,2026-08-04
503AC0000000081,医療的ケア児及びその家族に対する支援に関する法律,令和三年法律第八十一号,2021-06-18,2021-09-18,,3,2024-09-18,due,,https://laws.e-gov.go.jp/law/503AC0000000081,,,2026-08-04
503AC0000000032,取引デジタルプラットフォームを利用する消費者の利益の保護に関する法律,令和三年法律第三十二号,2021-05-10,2022-05-01,,3,2025-05-01,due,,https://laws.e-gov.go.jp/law/503AC0000000032,https://www.japaneselawtranslation.go.jp/en/laws/view/4310,,2026-08-04
504AC0000000105,法人等による寄附の不当な勧誘の防止等に関する法律,令和四年法律第百五号,2022-12-16,2023-06-01,段階施行,2,2025-06-01,due,,https://laws.e-gov.go.jp/law/504AC0000000105,https://www.japaneselawtranslation.go.jp/en/laws/view/4640,,2026-08-04
505AC0000000032,脱炭素成長型経済構造への円滑な移行の推進に関する法律,令和五年法律第三十二号,2023-05-19,2024-02-16,段階施行,2,2026-02-16,due,,https://laws.e-gov.go.jp/law/505AC0000000032,,,2026-08-04
503AC1000000057,教育職員等による児童生徒性暴力等の防止等に関する法律,令和三年法律第五十七号,2021-06-04,2023-04-01,段階施行,3,2026-04-01,due,,https://laws.e-gov.go.jp/law/503AC1000000057,,,2026-08-04
505AC1000000068,性的指向及びジェンダーアイデンティティの多様性に関する国民の理解の増進に関する法律,令和五年法律第六十八号,2023-06-23,2023-06-23,,3,2026-06-23,due,,https://laws.e-gov.go.jp/law/505AC1000000068,https://www.japaneselawtranslation.go.jp/en/laws/view/4835,,2026-08-04
503AC0000000040,地方公共団体情報システムの標準化に関する法律,令和三年法律第四十号,2021-05-19,2021-09-01,,5,2026-09-01,pending,,https://laws.e-gov.go.jp/law/503AC0000000040,,,2026-08-04
505AC1000000089,特定不法行為等に係る被害者の迅速かつ円滑な救済に資するための日本司法支援センターの業務の特例並びに宗教法人による財産の処分及び管理の特例に関する法律,令和五年法律第八十九号,2023-12-20,2024-03-19,段階施行,3,2027-03-19,pending,,https://laws.e-gov.go.jp/law/505AC1000000089,,,2026-08-04
503AC0000000038,公的給付の支給等の迅速かつ確実な実施のための預貯金口座の登録等に関する法律,令和三年法律第三十八号,2021-05-19,2024-04-01,段階施行,3,2027-04-01,pending,,https://laws.e-gov.go.jp/law/503AC0000000038,,,2026-08-04
503AC0000000039,預貯金者の意思に基づく個人番号の利用による預貯金口座の管理等に関する法律,令和三年法律第三十九号,2021-05-19,2024-04-01,段階施行,3,2027-04-01,pending,,https://laws.e-gov.go.jp/law/503AC0000000039,,,2026-08-04
