fiscal_year,forecast_tn,actual_tn,forecast_source_url,actual_source_url,notes
1990,23.4809,25.9652,https://web.archive.org/web/20110523025841/http://www.mof.go.jp/jgbs/reference/appendix/hakkou03.pdf,https://www.mof.go.jp/jgbs/reference/appendix/hakkou02.pdf,計画は財務省「国債発行額の推移(当初ベース)」(hakkou03.pdf、2011年5月23日時点のInternet Archive保存版、平成2～23年度収録)。実績は財務省「国債発行額の推移(実績ベース)」(hakkou02.pdf)。国債発行総額(建設国債+特例国債+復興債等特例公債+財投債+借換債の合計、収入金ベース)の当初計画額と実績額。区分定義(小計+復興債等+財投債+借換債=計)が原資料の合計欄で一致することを確認済み
1991,24.2685,25.6057,https://web.archive.org/web/20110523025841/http://www.mof.go.jp/jgbs/reference/appendix/hakkou03.pdf,https://www.mof.go.jp/jgbs/reference/appendix/hakkou02.pdf,計画は財務省「国債発行額の推移(当初ベース)」(hakkou03.pdf、2011年5月23日時点のInternet Archive保存版、平成2～23年度収録)。実績は財務省「国債発行額の推移(実績ベース)」(hakkou02.pdf)。国債発行総額(建設国債+特例国債+復興債等特例公債+財投債+借換債の合計、収入金ベース)の当初計画額と実績額。区分定義(小計+復興債等+財投債+借換債=計)が原資料の合計欄で一致することを確認済み
1992,28.778,31.0329,https://web.archive.org/web/20110523025841/http://www.mof.go.jp/jgbs/reference/appendix/hakkou03.pdf,https://www.mof.go.jp/jgbs/reference/appendix/hakkou02.pdf,計画は財務省「国債発行額の推移(当初ベース)」(hakkou03.pdf、2011年5月23日時点のInternet Archive保存版、平成2～23年度収録)。実績は財務省「国債発行額の推移(実績ベース)」(hakkou02.pdf)。国債発行総額(建設国債+特例国債+復興債等特例公債+財投債+借換債の合計、収入金ベース)の当初計画額と実績額。区分定義(小計+復興債等+財投債+借換債=計)が原資料の合計欄で一致することを確認済み
1993,29.9323,37.9869,https://web.archive.org/web/20110523025841/http://www.mof.go.jp/jgbs/reference/appendix/hakkou03.pdf,https://www.mof.go.jp/jgbs/reference/appendix/hakkou02.pdf,計画は財務省「国債発行額の推移(当初ベース)」(hakkou03.pdf、2011年5月23日時点のInternet Archive保存版、平成2～23年度収録)。実績は財務省「国債発行額の推移(実績ベース)」(hakkou02.pdf)。国債発行総額(建設国債+特例国債+復興債等特例公債+財投債+借換債の合計、収入金ベース)の当初計画額と実績額。区分定義(小計+復興債等+財投債+借換債=計)が原資料の合計欄で一致することを確認済み
1994,36.531,39.3717,https://web.archive.org/web/20110523025841/http://www.mof.go.jp/jgbs/reference/appendix/hakkou03.pdf,https://www.mof.go.jp/jgbs/reference/appendix/hakkou02.pdf,計画は財務省「国債発行額の推移(当初ベース)」(hakkou03.pdf、2011年5月23日時点のInternet Archive保存版、平成2～23年度収録)。実績は財務省「国債発行額の推移(実績ベース)」(hakkou02.pdf)。国債発行総額(建設国債+特例国債+復興債等特例公債+財投債+借換債の合計、収入金ベース)の当初計画額と実績額。区分定義(小計+復興債等+財投債+借換債=計)が原資料の合計欄で一致することを確認済み
1995,37.9758,46.6238,https://web.archive.org/web/20110523025841/http://www.mof.go.jp/jgbs/reference/appendix/hakkou03.pdf,https://www.mof.go.jp/jgbs/reference/appendix/hakkou02.pdf,計画は財務省「国債発行額の推移(当初ベース)」(hakkou03.pdf、2011年5月23日時点のInternet Archive保存版、平成2～23年度収録)。実績は財務省「国債発行額の推移(実績ベース)」(hakkou02.pdf)。国債発行総額(建設国債+特例国債+復興債等特例公債+財投債+借換債の合計、収入金ベース)の当初計画額と実績額。区分定義(小計+復興債等+財投債+借換債=計)が原資料の合計欄で一致することを確認済み
1996,47.59,48.3007,https://web.archive.org/web/20110523025841/http://www.mof.go.jp/jgbs/reference/appendix/hakkou03.pdf,https://www.mof.go.jp/jgbs/reference/appendix/hakkou02.pdf,計画は財務省「国債発行額の推移(当初ベース)」(hakkou03.pdf、2011年5月23日時点のInternet Archive保存版、平成2～23年度収録)。実績は財務省「国債発行額の推移(実績ベース)」(hakkou02.pdf)。国債発行総額(建設国債+特例国債+復興債等特例公債+財投債+借換債の合計、収入金ベース)の当初計画額と実績額。区分定義(小計+復興債等+財投債+借換債=計)が原資料の合計欄で一致することを確認済み
1997,48.1452,49.89,https://web.archive.org/web/20110523025841/http://www.mof.go.jp/jgbs/reference/appendix/hakkou03.pdf,https://www.mof.go.jp/jgbs/reference/appendix/hakkou02.pdf,計画は財務省「国債発行額の推移(当初ベース)」(hakkou03.pdf、2011年5月23日時点のInternet Archive保存版、平成2～23年度収録)。実績は財務省「国債発行額の推移(実績ベース)」(hakkou02.pdf)。国債発行総額(建設国債+特例国債+復興債等特例公債+財投債+借換債の合計、収入金ベース)の当初計画額と実績額。区分定義(小計+復興債等+財投債+借換債=計)が原資料の合計欄で一致することを確認済み
1998,57.9087,76.431,https://web.archive.org/web/20170825102805/http://www.mof.go.jp/jgbs/reference/appendix/hakkou03.pdf,https://www.mof.go.jp/jgbs/reference/appendix/hakkou02.pdf,計画は財務省「国債発行額の推移(当初ベース)」(hakkou03.pdf、2017年8月25日時点のInternet Archive保存版、平成10～29年度収録)。実績は財務省「国債発行額の推移(実績ベース)」(hakkou02.pdf)。国債発行総額(建設国債+特例国債+復興債等特例公債+財投債+借換債の合計、収入金ベース)の当初計画額と実績額。区分定義(小計+復興債等+財投債+借換債=計)が原資料の合計欄で一致することを確認済み
1999,71.1315,77.5979,https://web.archive.org/web/20170825102805/http://www.mof.go.jp/jgbs/reference/appendix/hakkou03.pdf,https://www.mof.go.jp/jgbs/reference/appendix/hakkou02.pdf,計画は財務省「国債発行額の推移(当初ベース)」(hakkou03.pdf、2017年8月25日時点のInternet Archive保存版、平成10～29年度収録)。実績は財務省「国債発行額の推移(実績ベース)」(hakkou02.pdf)。国債発行総額(建設国債+特例国債+復興債等特例公債+財投債+借換債の合計、収入金ベース)の当初計画額と実績額。区分定義(小計+復興債等+財投債+借換債=計)が原資料の合計欄で一致することを確認済み
