fiscal_year,forecast_tn,actual_tn,forecast_source_url,actual_source_url,notes
1979,,23.7295,,https://www.mof.go.jp/tax_policy/summary/condition/zeisyu.xls,[実績]財務省「昭和54年度以降の税収の推移」(zeisyu.xls)より一般会計税収(決算額)。当初予算の見積もり額はこの回では未収集(1985年度以降は財務省「一般会計税収の予算額と決算額の推移」で当初予算額を確認できたが、1979-1984年度分の当初予算資料は未特定のため空欄)。
1980,,26.8687,,https://www.mof.go.jp/tax_policy/summary/condition/zeisyu.xls,[実績]財務省「昭和54年度以降の税収の推移」(zeisyu.xls)より一般会計税収(決算額)。当初予算の見積もり額はこの回では未収集(1985年度以降は財務省「一般会計税収の予算額と決算額の推移」で当初予算額を確認できたが、1979-1984年度分の当初予算資料は未特定のため空欄)。
1981,,28.9521,,https://www.mof.go.jp/tax_policy/summary/condition/zeisyu.xls,[実績]財務省「昭和54年度以降の税収の推移」(zeisyu.xls)より一般会計税収(決算額)。当初予算の見積もり額はこの回では未収集(1985年度以降は財務省「一般会計税収の予算額と決算額の推移」で当初予算額を確認できたが、1979-1984年度分の当初予算資料は未特定のため空欄)。
1982,,30.5111,,https://www.mof.go.jp/tax_policy/summary/condition/zeisyu.xls,[実績]財務省「昭和54年度以降の税収の推移」(zeisyu.xls)より一般会計税収(決算額)。当初予算の見積もり額はこの回では未収集(1985年度以降は財務省「一般会計税収の予算額と決算額の推移」で当初予算額を確認できたが、1979-1984年度分の当初予算資料は未特定のため空欄)。
1983,,32.3583,,https://www.mof.go.jp/tax_policy/summary/condition/zeisyu.xls,[実績]財務省「昭和54年度以降の税収の推移」(zeisyu.xls)より一般会計税収(決算額)。当初予算の見積もり額はこの回では未収集(1985年度以降は財務省「一般会計税収の予算額と決算額の推移」で当初予算額を確認できたが、1979-1984年度分の当初予算資料は未特定のため空欄)。
1984,,34.9084,,https://www.mof.go.jp/tax_policy/summary/condition/zeisyu.xls,[実績]財務省「昭和54年度以降の税収の推移」(zeisyu.xls)より一般会計税収(決算額)。当初予算の見積もり額はこの回では未収集(1985年度以降は財務省「一般会計税収の予算額と決算額の推移」で当初予算額を確認できたが、1979-1984年度分の当初予算資料は未特定のため空欄)。
1985,38.55,38.1988,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 38.145兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1986,40.56,41.8768,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 39.44兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1987,41.194,46.7979,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 43.087兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1988,45.09,50.8265,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 48.106兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1989,51.01,54.9218,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 54.227兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1990,58.004,60.1059,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 59.131兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1991,61.772,59.8204,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 58.99兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1992,62.504,54.4453,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 57.631兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
